Client_ID,Client_Name,Business,Client_Group,Status,Waves,Division,Vertical,Business_Model,Frequency,Primary_KPI,Comparison
M012,Mister Sparky Hempstead,Mister Sparky,Mister Sparky Hempstead,Paused,,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
M013,Mister Sparky Little Rock,Mister Sparky,Mister Sparky Little Rock,Paused,,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
M014,Mister Sparky Raleigh & Wake Forest,Mister Sparky,Mister Sparky Raleigh,Active,2,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
M015,Mister Sparky Grand Rapids,Mister Sparky,Mister Sparky Grand Rapids,Inactive,,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
N001,NC Bar CLE,NC Bar CLE,NC Bar CLE,Active,2,Echo,Professional Services,B2B,Monthly,Clicks,Last Year Same Period
N002,Northern Construction LLC,Northern Construction LLC,Northern Construction LLC,Active,1,Echo,Home Services,B2B,Monthly,Clicks,Last Year Same Period
O001,Overby Court Reporting,Overby Court Reporting,Overby Court Reporting,Active,1,Echo,Professional Services,B2C,Monthly,Clicks,Last Year Same Period
O002,One Hour Heating & Air Elk Grove,One Hour Heating & Air,One Hour Heating & Air,Active,2,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
O003,One Hour Heating & Air Meridian,One Hour Heating & Air,One Hour Heating & Air,Inactive,,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
O004,One Hour Heating & Air Midland Park,One Hour Heating & Air,One Hour Heating & Air,Active,2,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
O005,One Hour Heating & Air NWA,One Hour Heating & Air,One Hour Heating & Air,Paused,,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
O006,One Hour Heating & Air Tucson,One Hour Heating & Air,One Hour Heating & Air,Active,2,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
O007,One Hour Heating & Air Lewis Center,One Hour Heating & Air,One Hour Heating & Air,Paused,,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
O008,One Hour Heating & Air O'Fallon,One Hour Heating & Air,One Hour Heating & Air,Paused,,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
P001,Papa John's Atlanta,Papa John's,Papa John's Atlanta,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
P002,Papa John's Charlotte,Papa John's,Papa John's Carolinas,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
P003,Papa John's Cleveland,Papa John's,Papa John's Cleveland,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
P004,Papa John's Columbia/Jeff City,Papa John's,Papa John's Jeff City Terre Haute Topeka,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
P005,Papa John's Corporate,Papa John's,Papa John's Corporate,Paused,,Echo,Food & Bev,B2C,Monthly,Impressions,Last Year Same Period
